date,pv_production_k_wh,consumption_base_load_k_wh,consumption_heat_pump_k_wh,consumption_ev_charging_k_wh,consumption_cooking_lighting_etc_k_wh,grid_feed_in_pv_k_wh,grid_import_total_k_wh,self_consumption_pv_k_wh,temperature_daily_C,humidity_daily_pct,wind_speed_daily_ms
2020-01-01,0.36,4.075,74.493,0,9.9784,0,88.1865,0.36,-0.6739130434782609,91.8695652173913,0.8913043478260869
2020-01-02,0.36,3.338,68.2394,0,10.4778,0,81.6954,0.36,-0.26666666666666666,91.50833333333333,1.85
2020-01-03,0.36,3.646,65.3263,0,6.5258,0,75.138,0.36,3.2708333333333335,91.69166666666666,1.2208333333333334
2020-01-04,0.36,3.814,64.5103,0,7.8489,0,75.8131,0.36,5.116666666666666,83.44583333333334,1.425
2020-01-05,0.36,3.565,64.4568,0,7.2411,0,74.903,0.36,1.0916666666666666,86.6125,0.6583333333333333
2020-01-06,0.36,3.636,66.7323,0,8.402,0,78.4103,0.36,0.21666666666666667,91.37916666666666,1.2708333333333333
2020-01-07,0.36,3.74,70.0347,0,9.1404,0,82.5551,0.36,2.9583333333333335,89.3875,1.0291666666666666
2020-01-08,0.36,3.681,68.534,0,6.7332,0,78.5879,0.36,2.2916666666666665,91.07083333333334,0.9875
2020-01-09,0.36,3.72,71.0851,0,9.3759,0,83.8206,0.36,4.325,76.3125,0.9958333333333333
2020-01-10,0.36,3.48,70.0935,0,7.3147,0,80.5281,0.36,7.4,71.90833333333333,2.8666666666666667
2020-01-11,0.36,3.38,71.1411,0,5.0825000000000005,0,79.24340000000001,0.36,4.841666666666667,80.875,0.6833333333333333
2020-01-12,0.36,3.145,67.1068,0,7.4299,0,77.3211,0.36,1.1916666666666667,88.3875,0.9
2020-01-13,0.36,3.591,69.4228,0,7.9398,0,80.5936,0.36,0.5541666666666667,86.40833333333333,0.575
2020-01-14,0.36,3.583,68.3328,0,8.2498,0,79.8055,0.36,1.6458333333333333,81.28333333333333,1.0375
2020-01-15,0.36,3.241,64.5644,0,6.5358,0,73.9813,0.36,3.745833333333333,74.6875,1.5416666666666667
2020-01-16,0.36,3.738,73.7017,0,7.1914,0,84.27120000000001,0.36,4.366666666666667,79.40416666666667,0.4583333333333333
2020-01-17,0.36,3.407,66.90859999999999,0,6.5941,0,76.55,0.36,2.2666666666666666,90.19583333333334,0.7541666666666667
2020-01-18,0.36,3.269,66.8194,0,8.491,0,78.2191,0.36,3.683333333333333,85.75833333333334,1.0958333333333334
2020-01-19,0.36,3.3316,71.1614,0,8.1625,0,82.2954,0.36,0.3125,85.8,1.0458333333333334
2020-01-20,0.36,3.765,68.369,0,10.564400000000001,0,82.3385,0.36,1.5291666666666668,72.7125,2.775
2020-01-21,0.36,3.615,66.3921,0,7.8803,0,77.5272,0.36,-1.9291666666666667,86.19583333333333,0.5791666666666667
2020-01-22,0.36,3.612,73.072,0,9.0946,0,85.4185,0.36,-2.675,92.89583333333333,0.8375
2020-01-23,0.36,3.176,72.9448,0,9.4698,0,85.231,0.36,-1.6875,87.94583333333334,1.4125
2020-01-24,0.36,3.742,65.4458,0,8.9772,0,77.8051,0.36,-0.6666666666666666,89.51666666666667,1.5916666666666668
2020-01-25,0.36,3.249,69.7728,0,6.7215,0,79.3833,0.36,-0.012500000000000011,95.0125,0.9916666666666667
2020-01-26,0.36,3.817,73.1745,0,8.0139,0,84.6454,0.36,1.5333333333333332,90.49583333333334,1.4333333333333333
